"index","sex","given","l","m","s"
"wfa",1,105.5,-1.355720571,27.90904433,0.163774719
"wfa",1,106.5,-1.351202536,28.16324264,0.164722138
"wfa",1,107.5,-1.345754408,28.42063744,0.165683945
"wfa",1,108.5,-1.339405453,28.68130005,0.166659247
"wfa",1,109.5,-1.332188093,28.94530029,0.167647017
"wfa",1,110.5,-1.324137479,29.21270645,0.168646104
"wfa",1,111.5,-1.315291073,29.48358527,0.169655235
"wfa",1,112.5,-1.30568824,29.75800198,0.170673022
"wfa",1,113.5,-1.295369867,30.03602021,0.17169797
"wfa",1,114.5,-1.284374967,30.31770417,0.17272854
"wfa",1,115.5,-1.272750864,30.60311107,0.173762961
"wfa",1,116.5,-1.260539193,30.89230072,0.174799493
"wfa",1,117.5,-1.247783611,31.18532984,0.175836284
"wfa",1,118.5,-1.234527763,31.48225315,0.176871417
"wfa",1,119.5,-1.220815047,31.78312329,0.177902912
"wfa",1,120.5,-1.206688407,32.08799062,0.17892874
"wfa",1,121.5,-1.19219015,32.39690313,0.17994683
"wfa",1,122.5,-1.177361786,32.7099062,0.180955078
"wfa",1,123.5,-1.162243894,33.02704244,0.181951361
"wfa",1,124.5,-1.146876007,33.34835148,0.182933537
"wfa",1,125.5,-1.131296524,33.67386973,0.183899465
"wfa",1,126.5,-1.115542634,34.00363017,0.184847006
"wfa",1,127.5,-1.099650267,34.33766207,0.185774041
"wfa",1,128.5,-1.083654055,34.67599076,0.18667847
"wfa",1,129.5,-1.067587314,35.01863732,0.187558229
"wfa",1,130.5,-1.051482972,35.36561737,0.18841128
"wfa",1,131.5,-1.035367321,35.71694723,0.189235738
"wfa",1,132.5,-1.019277299,36.07262569,0.190029545
"wfa",1,133.5,-1.003235326,36.43265996,0.190790973
"wfa",1,134.5,-0.987269866,36.79704392,0.191518224
"wfa",1,135.5,-0.971406609,37.1657671,0.192209619
"wfa",1,136.5,-0.955670107,37.53881268,0.192863569
"wfa",1,137.5,-0.940083834,37.91615721,0.193478582
"wfa",1,138.5,-0.924670244,38.2977703,0.194053274
"wfa",1,139.5,-0.909450843,38.6836143,0.194586368
"wfa",1,140.5,-0.894446258,39.07364401,0.195076705
"wfa",1,141.5,-0.879676305,39.46780643,0.195523246
"wfa",1,142.5,-0.865160071,39.86604044,0.195925079
"wfa",1,143.5,-0.850915987,40.26827652,0.196281418
"wfa",1,144.5,-0.836961905,40.67443658,0.196591612
"wfa",1,145.5,-0.823315176,41.08443363,0.19685514
"wfa",1,146.5,-0.809992726,41.49817164,0.19707162
"wfa",1,147.5,-0.797011132,41.91554528,0.197240806
"wfa",1,148.5,-0.784386693,42.33643978,0.197362591
"wfa",1,149.5,-0.772135506,42.76073078,0.197437004
"wfa",1,150.5,-0.760273528,43.18828419,0.19746421
"wfa",1,151.5,-0.748815968,43.61895703,0.197444522
"wfa",1,152.5,-0.737780398,44.0525931,0.197378345
"wfa",1,153.5,-0.727181568,44.48903027,0.197266263
"wfa",1,154.5,-0.717035494,44.92809483,0.197108968
"wfa",1,155.5,-0.707358338,45.36960315,0.196907274
"wfa",1,156.5,-0.698166437,45.81336172,0.196662115
"wfa",1,157.5,-0.689476327,46.25916729,0.196374538
"wfa",1,158.5,-0.68130475,46.70680701,0.196045701
"wfa",1,159.5,-0.673668658,47.15605863,0.195676862
"wfa",1,160.5,-0.666585194,47.60669074,0.19526938
"wfa",1,161.5,-0.660069969,48.05846572,0.19482473
"wfa",1,162.5,-0.654142602,48.51113138,0.19434441
"wfa",1,163.5,-0.648819666,48.96443224,0.193830046
"wfa",1,164.5,-0.644118611,49.41810374,0.193283319
"wfa",1,165.5,-0.640056805,49.87187409,0.192705974
"wfa",1,166.5,-0.636651424,50.32546478,0.192099812
"wfa",1,167.5,-0.633919328,50.77859121,0.191466681
"wfa",1,168.5,-0.631876912,51.23096332,0.190808471
"wfa",1,169.5,-0.63053994,51.68228625,0.190127105
"wfa",1,170.5,-0.629923353,52.13226113,0.18942453
"wfa",1,171.5,-0.630041066,52.58058583,0.188702714
"wfa",1,172.5,-0.630905733,53.02695588,0.187963636
"wfa",1,173.5,-0.632528509,53.47106525,0.187209281
"wfa",1,174.5,-0.634918779,53.91260737,0.18644163
"wfa",1,175.5,-0.638083884,54.35127608,0.185662657
"wfa",1,176.5,-0.642028835,54.78676659,0.184874323
"wfa",1,177.5,-0.646756013,55.21877657,0.184078567
"wfa",1,178.5,-0.652262297,55.64701131,0.183277339
"wfa",1,179.5,-0.658551638,56.07116407,0.182472427
